split,model,commit_weight,closure_weight,pr_weight,contributor_weight
rolling_test_2021,optimized_weights,0.7074403675085034,0.058241795748116415,3.535839921095211e-16,0.2343178367433798
rolling_test_2021,current_manual,0.35,0.3,0.2,0.15
rolling_test_2021,equal,0.25,0.25,0.25,0.25
rolling_test_2021,commit_heavy,0.5,0.2,0.15,0.15
rolling_test_2021,closure_heavy,0.25,0.4,0.2,0.15
rolling_test_2021,contributor_heavy,0.25,0.25,0.15,0.35
rolling_test_2021,linear_regression,0.6543591764964404,0.19115517605573892,0.013782675845158908,0.14070297160266174
rolling_test_2021,elastic_net,0.6496799358443469,0.15844657743277657,0.019042250184435193,0.17283123653844126
rolling_test_2021,random_forest_importance,0.7643938718418084,0.13129894877722323,0.034363436496411034,0.06994374288455737
rolling_test_2021,gradient_boosting_importance,0.6840822957788752,0.1633858647132539,0.06420817940018189,0.08832366010768904
rolling_test_2022,optimized_weights,0.7169473198503151,0.05338139442747263,0.06637477015431556,0.16329651556789662
rolling_test_2022,current_manual,0.35,0.3,0.2,0.15
rolling_test_2022,equal,0.25,0.25,0.25,0.25
rolling_test_2022,commit_heavy,0.5,0.2,0.15,0.15
rolling_test_2022,closure_heavy,0.25,0.4,0.2,0.15
rolling_test_2022,contributor_heavy,0.25,0.25,0.15,0.35
rolling_test_2022,linear_regression,0.6486586478966831,0.11873029958087074,0.11375071548781555,0.11886033703463073
rolling_test_2022,elastic_net,0.6371297436216635,0.10278014235567444,0.10254314645523602,0.15754696756742592
rolling_test_2022,random_forest_importance,0.764507626354692,0.13752736758090361,0.053638835977199546,0.04432617008720483
rolling_test_2022,gradient_boosting_importance,0.7576618137863633,0.12144933818321187,0.06151802208177352,0.05937082594865135
rolling_test_2023,optimized_weights,0.690067943654392,0.022520323219854744,0.10250945667557354,0.18490227645017973
rolling_test_2023,current_manual,0.35,0.3,0.2,0.15
rolling_test_2023,equal,0.25,0.25,0.25,0.25
rolling_test_2023,commit_heavy,0.5,0.2,0.15,0.15
rolling_test_2023,closure_heavy,0.25,0.4,0.2,0.15
rolling_test_2023,contributor_heavy,0.25,0.25,0.15,0.35
rolling_test_2023,linear_regression,0.6390193757500874,0.08811129041360904,0.12328680099460641,0.14958253284169729
rolling_test_2023,elastic_net,0.6224605744108056,0.07695667377528222,0.10706819448709305,0.19351455732681905
rolling_test_2023,random_forest_importance,0.7724144599615068,0.12146405875043514,0.06122998254446953,0.04489149874358851
rolling_test_2023,gradient_boosting_importance,0.783790743674239,0.0942930309204869,0.061774040622567736,0.0601421847827065
rolling_test_2024,optimized_weights,0.6458278878130203,0.01692350495670696,0.10936270655761814,0.22788590067265468
rolling_test_2024,current_manual,0.35,0.3,0.2,0.15
rolling_test_2024,equal,0.25,0.25,0.25,0.25
rolling_test_2024,commit_heavy,0.5,0.2,0.15,0.15
rolling_test_2024,closure_heavy,0.25,0.4,0.2,0.15
rolling_test_2024,contributor_heavy,0.25,0.25,0.15,0.35
rolling_test_2024,linear_regression,0.6221858651335287,0.09060963394014755,0.11309859036501956,0.17410591056130426
rolling_test_2024,elastic_net,0.605800592047117,0.0767535663890586,0.09628306293202295,0.22116277863180153
rolling_test_2024,random_forest_importance,0.776025192507015,0.10050008731103693,0.07441429059158787,0.04906042959036024
rolling_test_2024,gradient_boosting_importance,0.7926024488876642,0.06962015686879905,0.06072372905247781,0.07705366519105893
rolling_test_2025,optimized_weights,0.5942610724522971,0.04444777939498562,0.10665665225584138,0.25463449589687603
rolling_test_2025,current_manual,0.35,0.3,0.2,0.15
rolling_test_2025,equal,0.25,0.25,0.25,0.25
rolling_test_2025,commit_heavy,0.5,0.2,0.15,0.15
rolling_test_2025,closure_heavy,0.25,0.4,0.2,0.15
rolling_test_2025,contributor_heavy,0.25,0.25,0.15,0.35
rolling_test_2025,linear_regression,0.5989338939650005,0.11310409828414265,0.08784589538399058,0.2001161123668663
rolling_test_2025,elastic_net,0.5826912982636796,0.09321158139253427,0.07611338611339354,0.24798373423039247
rolling_test_2025,random_forest_importance,0.7675436650851426,0.09123037608761915,0.06835507099014917,0.07287088783708905
rolling_test_2025,gradient_boosting_importance,0.7877240861384186,0.0681213149297732,0.04994168429891116,0.09421291463289705
holdout_2020_2023_vs_2024_2025,optimized_weights,0.6458278878130203,0.01692350495670696,0.10936270655761814,0.22788590067265468
holdout_2020_2023_vs_2024_2025,current_manual,0.35,0.3,0.2,0.15
holdout_2020_2023_vs_2024_2025,equal,0.25,0.25,0.25,0.25
holdout_2020_2023_vs_2024_2025,commit_heavy,0.5,0.2,0.15,0.15
holdout_2020_2023_vs_2024_2025,closure_heavy,0.25,0.4,0.2,0.15
holdout_2020_2023_vs_2024_2025,contributor_heavy,0.25,0.25,0.15,0.35
holdout_2020_2023_vs_2024_2025,linear_regression,0.6221858651335287,0.09060963394014755,0.11309859036501956,0.17410591056130426
holdout_2020_2023_vs_2024_2025,elastic_net,0.605800592047117,0.0767535663890586,0.09628306293202295,0.22116277863180153
holdout_2020_2023_vs_2024_2025,random_forest_importance,0.776025192507015,0.10050008731103693,0.07441429059158787,0.04906042959036024
holdout_2020_2023_vs_2024_2025,gradient_boosting_importance,0.7926024488876642,0.06962015686879905,0.06072372905247781,0.07705366519105893
